cell_type,count
Tem/Temra cytotoxic T cells,4490
CD16+ NK cells,3063
Tcm/Naive helper T cells,2243
Tem/Trm cytotoxic T cells,1800
Naive B cells,807
Memory B cells,645
Regulatory T cells,398
MAIT cells,258
Epithelial cells,225
Classical monocytes,182
Type 1 helper T cells,166
Endothelial cells,159
Fibroblasts,127
Mast cells,103
Macrophages,86
DC2,55
Plasmablasts,50
ILC3,48
Megakaryocytes/platelets,36
CD16- NK cells,28
Non-classical monocytes,21
