,celltype,counts
7,Tem/Trm cytotoxic T cells,510
6,Tem/Temra cytotoxic T cells,427
0,CD16+ NK cells,405
5,Tcm/Naive helper T cells,307
3,Memory B cells,149
1,Epithelial cells,125
4,Naive B cells,60
2,Mast cells,17
